mean,system:index,AREA,LGA,STATE,Latitude,Longitude,PERIMETER
0.005794477,0,1193.977,Gada,Sokoto,13.6734744,5.376003265,170.095
-0.005184608,1,1298.423,Illela,Sokoto,13.6866942,5.724052401,174.726
0.006877905,2,2460.715,Tangaza,Sokoto,13.47705741,5.00071397,209.702
0.005252385,3,2430.515,Abadam,Borno,13.36485957,13.18698733,288.957
-0.00636937,4,5225.912,Lake chad,Lake,13.12070054,13.80406474,497.039
-0.00263533,5,2241.75,Sabon Birni,Sokoto,13.48060895,6.266445641,201.102
0.002764663,6,1009.712,Gwadabawa,Sokoto,13.42676977,5.375989002,172.871
-0.001497585,7,1651.61,Goronyo,Sokoto,13.37200055,5.807781897,255.14
0.003834394,8,642.076,Wurno,Sokoto,13.24284254,5.542393118,140.928
0.002478698,9,4292.148,Yusufari,Yobe,13.16310127,10.85230728,376.191
0.004352377,10,3880.036,Yunusari,Yobe,13.10450137,11.74730105,347.123
0.020997998,11,972.081,Kaita,Katsina,13.16246705,7.723243228,137.735
0.058930011,12,702.678,Kware,Sokoto,13.14966076,5.311966682,147.599
0.02405384,13,910.661,Mashi,Katsina,13.12406113,7.983345225,141.039
-0.002342662,14,2086.713,Kukawa,Borno,12.98130153,13.59553353,273.008
0.045216173,15,576.688,Mai'Adua,Katsina,13.14458383,8.207989388,122.765
0.00896487,16,527.869,Binji,Sokoto,13.17967156,4.891626077,100.792
-0.006237503,17,2654.951,Rabah,Sokoto,12.97772924,5.773742497,222.453
-3.66E-04,18,1243.824,Machina,Yobe,13.02614718,9.998433484,180.189
0.006829548,19,4952.362,Arewa Dandi,Kebbi,12.69408742,4.055095217,374.855
0.015283572,20,1099.06,Jibia,Katsina,12.9855642,7.296388293,209.112
0.55213616,21,571.605,Wamako,Sokoto,13.04405847,5.120979383,105.038
2.63E-04,22,920.291,Shinkafi,Zamfara,13.01383395,6.472302265,144.767
-0.003590599,23,2313.066,Guzamala,Borno,12.87652106,13.27319115,245.222
0.028542665,24,1519.903,Augie,Kebbi,12.87537955,4.640789605,178.015
0.009542132,25,946.864,Nguru,Yobe,12.94592461,10.3635697,131.456
0.00130153,26,610.931,Silame,Sokoto,12.96422486,4.893639015,98.297
0.005141528,27,1161.392,Karasuwa,Yobe,12.93724777,10.74710239,201.644
0.021456909,28,775.836,Mani,Katsina,12.88463851,7.922192836,159.483
2.750379049,29,39.581,Sokoto North,Sokoto,13.06395461,5.267326071,25.821
0.093119864,30,314.929,Daura,Katsina,12.98523917,8.242109483,74.735
0.007667652,31,648.034,Zango,Katsina,12.93936925,8.530927568,112.034
2.606165846,32,145.475,Katsina,Katsina,13.00103211,7.611729149,46.744
1.609625765,33,30.346,Sokoto South,Sokoto,13.01870547,5.279452057,30.722
-0.006153864,34,2331.225,Maradun,Zamfara,12.75167786,6.274630648,235.205
0.065169558,35,473.409,Rimi,Katsina,12.82160096,7.694783671,117.871
0.197064379,36,442.871,Batagarawa,Katsina,12.88516262,7.566188666,156.647
2.83E-04,37,2504.059,Gubio,Borno,12.66355235,12.79492413,215.022
0.019073758,38,288.665,Dutsi,Katsina,12.90263359,8.136302841,83.753
0.003616707,39,1072.743,Batsari,Katsina,12.77216625,7.244708626,163.425
0.011952343,40,1197.884,Dange-Shuni,Sokoto,12.81902576,5.469980744,153.605
0.01459833,41,287.807,Sandamu,Katsina,12.89188358,8.348610372,77.109
0.003603096,42,4303.837,Geidam,Yobe,12.64598151,12.08018802,280.586
0.039891673,43,1587.695,Biriniwa,Jigawa,12.78274911,10.03348447,173.679
0.046022056,44,554.94,Bodinga,Sokoto,12.82542038,5.230392976,110.327
0.003108809,45,3889.682,Borsari,Yobe,12.71147029,11.42243002,251.058
0.012394307,46,828.959,Yabo,Sokoto,12.76232393,5.002005583,135.11
-7.79E-04,47,735.83,Baure,Katsina,12.78769183,8.755763971,123.193
0.002294147,48,2502.439,Nganzai,Borno,12.48698824,13.17752524,243.165
0.011347405,49,558.026,Kurfi,Katsina,12.68434974,7.488803906,132.697
0.002277919,50,1043.889,Babura,Jigawa,12.58695039,8.837529219,154.618
0.113357986,51,562.784,Gwiwa,Jigawa,12.73132618,8.252276287,98.635
0.087393344,52,448.059,Yankwashi,Jigawa,12.73012806,8.494743226,112.758
0.015305184,53,1074.267,Guri,Jigawa,12.61600944,10.45367046,137.085
0.03947657,54,858.143,Kaugama,Jigawa,12.46961444,9.745257453,189.301
0.017816314,55,393.549,Bindawa,Katsina,12.7089658,7.85298859,110.336
0.002044899,56,3908.839,Jakusko,Yobe,12.40609219,10.91499655,290.617
0.095235451,57,1207.803,Argungu,Kebbi,12.63437062,4.441094495,171.732
0.012488506,58,765.692,Ingawa,Katsina,12.60708302,8.068530894,159.374
0.040151909,59,2366.145,Bakura,Zamfara,12.52981379,5.836028831,203.482
0.003892824,60,1296.653,Shagari,Sokoto,12.51656482,5.180747397,201.954
0.010581172,61,2207.511,Tambuwal,Sokoto,12.35078818,4.880544324,289.473
0.103517109,62,808.531,Kiri Kasamma,Jigawa,12.53878906,10.22355906,138.621
0.018098035,63,464.027,Charanchi,Katsina,12.59488242,7.673961032,108.887
-0.00178373,64,1515.039,Monguno,Borno,12.48464241,13.55810823,192.641
0.122230214,65,367.065,Kazaure,Jigawa,12.62412628,8.521348195,122.167
0.002064594,66,1293.001,Tureta,Sokoto,12.48309746,5.459307587,178.822
0.040189567,67,677.842,Kaura Namoda,Zamfara,12.53641215,6.593420659,141.58
0.316810904,68,238.098,Gumel,Jigawa,12.5946304,9.362072781,61.613
0.14078734,69,787.242,Malam Maduri,Jigawa,12.52628793,9.982115471,140.602
0.008958682,70,237.79,Roni,Jigawa,12.56151162,8.316402732,110.887
-0.003776581,71,1353.244,Safana,Katsina,12.46986042,7.260129069,157.759
